id,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,nbumps6,nbumps7,nbumps89,energy,maxenergy,class
318,a,b,W,25850,476,1,-6,a,0,0,0,0,0,0,0,0,0,0,0
319,a,b,W,23040,392,-10,-22,a,0,0,0,0,0,0,0,0,0,0,0
320,a,b,W,15300,295,-40,-41,a,0,0,0,0,0,0,0,0,0,0,0
321,a,b,W,14050,228,-45,-55,a,0,0,0,0,0,0,0,0,0,0,0
322,a,b,W,9450,209,-63,-59,a,0,0,0,0,0,0,0,0,0,0,0
323,a,b,W,36250,361,42,-28,a,0,0,0,0,0,0,0,0,0,0,0
324,a,b,W,24570,327,-4,-35,a,0,0,0,0,0,0,0,0,0,0,0
325,a,b,W,26860,319,5,-37,a,0,0,0,0,0,0,0,0,0,0,0
326,a,b,W,16000,313,-38,-36,a,0,0,0,0,0,0,0,0,0,0,0
327,a,b,W,21860,196,-16,-60,a,0,0,0,0,0,0,0,0,0,0,0
328,a,b,W,12900,201,-50,-59,a,0,0,0,0,0,0,0,0,0,0,0
329,a,b,W,27590,314,6,-35,a,0,0,0,0,0,0,0,0,0,0,0
330,a,b,W,15010,368,-42,-24,a,1,1,0,0,0,0,0,0,800,800,0
331,a,b,W,9970,323,-62,-33,a,0,0,0,0,0,0,0,0,0,0,0
332,a,b,W,18970,301,-27,-38,a,1,0,1,0,0,0,0,0,1000,1000,0
333,a,b,W,34750,368,36,-17,a,0,0,0,0,0,0,0,0,0,0,0
334,a,b,W,84880,807,233,82,a,1,1,0,0,0,0,0,0,800,800,0
335,a,b,W,45560,591,79,33,a,0,0,0,0,0,0,0,0,0,0,0
336,a,b,W,36940,439,45,-1,a,0,0,0,0,0,0,0,0,0,0,0
337,a,b,W,28960,444,14,0,a,1,1,0,0,0,0,0,0,300,300,0
338,a,b,W,22260,493,-13,11,a,1,1,0,0,0,0,0,0,900,900,0
339,a,b,W,14370,338,-44,-24,a,1,1,0,0,0,0,0,0,400,400,0
340,a,b,W,16480,401,-35,-10,a,0,0,0,0,0,0,0,0,0,0,0
341,a,b,N,14300,275,33,14,a,0,0,0,0,0,0,0,0,0,0,0
342,a,b,N,12280,290,14,20,a,0,0,0,0,0,0,0,0,0,0,0
343,a,b,N,11140,295,4,22,a,0,0,0,0,0,0,0,0,0,0,0
344,a,b,N,4500,207,-58,-14,a,0,0,0,0,0,0,0,0,0,0,0
345,a,b,N,7400,206,-31,-15,a,0,0,0,0,0,0,0,0,0,0,0
346,a,b,N,9380,234,-13,-3,a,0,0,0,0,0,0,0,0,0,0,0
347,a,b,N,11550,204,8,-16,a,1,1,0,0,0,0,0,0,600,600,0
348,a,b,N,8780,226,-10,-1,a,0,0,0,0,0,0,0,0,0,0,0
349,a,b,W,16980,451,-30,-38,a,0,0,0,0,0,0,0,0,0,0,0
350,a,b,W,21910,695,-10,-4,a,1,1,0,0,0,0,0,0,300,300,0
351,a,b,W,28130,304,15,-28,a,1,0,1,0,0,0,0,0,6000,6000,0
352,a,b,W,28210,618,15,47,a,0,0,0,0,0,0,0,0,0,0,0
353,a,b,W,22130,390,-10,-7,a,2,1,0,1,0,0,0,0,30300,30000,0
354,a,b,N,9860,324,7,46,a,0,0,0,0,0,0,0,0,0,0,0
355,a,b,W,18830,201,-23,-52,a,0,0,0,0,0,0,0,0,0,0,0
356,a,b,W,34360,604,40,44,a,0,0,0,0,0,0,0,0,0,0,0
357,a,b,N,15640,517,67,72,a,0,0,0,0,0,0,0,0,0,0,0
358,b,b,N,19760,445,114,101,a,0,0,0,0,0,0,0,0,0,0,0
359,b,b,N,11660,330,26,49,a,0,0,0,0,0,0,0,0,0,0,0
360,b,b,W,17390,278,-31,-32,a,1,1,0,0,0,0,0,0,600,600,0
361,b,b,W,41300,336,64,-17,a,1,0,1,0,0,0,0,0,4000,4000,0
362,b,b,W,26880,317,6,-22,a,0,0,0,0,0,0,0,0,0,0,0
363,b,b,W,30820,389,22,-4,a,0,0,0,0,0,0,0,0,0,0,0
364,b,b,W,20610,274,-18,-33,a,0,0,0,0,0,0,0,0,0,0,0
365,b,b,W,47470,466,88,14,a,0,0,0,0,0,0,0,0,0,0,0
366,b,a,W,87260,2457,275,258,a,1,0,0,1,0,0,0,0,80000,80000,0
367,b,a,W,30060,1135,29,66,a,0,0,0,0,0,0,0,0,0,0,0
368,b,a,N,23670,721,153,140,a,1,1,0,0,0,0,0,0,300,300,0
369,b,a,N,15600,548,67,83,a,0,0,0,0,0,0,0,0,0,0,0
370,b,a,W,13520,528,-42,-23,a,0,0,0,0,0,0,0,0,0,0,0
371,b,a,W,16590,324,61,17,a,1,1,0,0,0,0,0,0,300,300,0
372,b,a,W,10000,208,-62,-49,a,1,1,0,0,0,0,0,0,500,500,0
373,b,a,W,19140,545,-10,-12,a,0,0,0,0,0,0,0,0,0,0,0
374,b,a,W,34020,858,60,38,a,0,0,0,0,0,0,0,0,0,0,0
375,b,a,W,25400,810,19,31,a,0,0,0,0,0,0,0,0,0,0,0
376,b,a,W,19910,373,-24,-2,a,1,0,1,0,0,0,0,0,5000,5000,0
377,b,a,W,15770,549,-26,-12,a,0,0,0,0,0,0,0,0,0,0,0
378,b,a,W,19860,300,-24,-21,a,0,0,0,0,0,0,0,0,0,0,0
379,b,a,W,35130,859,65,38,a,0,0,0,0,0,0,0,0,0,0,0
380,b,a,W,26630,785,25,27,a,0,0,0,0,0,0,0,0,0,0,0
381,b,a,N,15280,521,63,74,a,0,0,0,0,0,0,0,0,0,0,0
382,b,a,N,10820,524,16,75,a,0,0,0,0,0,0,0,0,0,0,0
383,b,a,N,7170,278,-23,-7,a,0,0,0,0,0,0,0,0,0,0,0
384,b,a,W,14930,244,-46,-42,a,0,0,0,0,0,0,0,0,0,0,0
385,b,a,W,20670,376,-25,-10,a,0,0,0,0,0,0,0,0,0,0,0
386,b,a,W,17360,380,-37,-9,a,0,0,0,0,0,0,0,0,0,0,0
387,b,a,W,12840,350,157,40,a,0,0,0,0,0,0,0,0,0,0,0
388,b,a,W,28010,693,23,3,a,0,0,0,0,0,0,0,0,0,0,0
389,b,a,N,17620,557,91,151,a,1,1,0,0,0,0,0,0,300,300,0
390,b,a,W,12950,428,-38,-31,a,0,0,0,0,0,0,0,0,0,0,0
391,b,a,W,17320,586,-17,-6,a,0,0,0,0,0,0,0,0,0,0,0
392,b,a,W,28610,330,12,-15,a,2,1,1,0,0,0,0,0,6900,6000,0
393,b,a,W,16170,414,-37,6,a,0,0,0,0,0,0,0,0,0,0,0
394,b,a,W,15600,274,-39,-30,a,0,0,0,0,0,0,0,0,0,0,0
395,b,a,W,52360,1004,150,61,a,0,0,0,0,0,0,0,0,0,0,0
396,b,a,W,44960,1172,115,88,a,1,1,0,0,0,0,0,0,200,200,0
397,a,a,W,18580,753,-7,25,a,0,0,0,0,0,0,0,0,0,0,0
398,a,a,N,12240,452,33,104,a,0,0,0,0,0,0,0,0,0,0,0
399,a,a,W,16840,318,-28,-17,a,0,0,0,0,0,0,0,0,0,0,0
400,a,a,W,15820,382,-32,0,a,0,0,0,0,0,0,0,0,0,0,0
401,a,a,W,17690,284,-24,-26,a,1,1,0,0,0,0,0,0,300,300,0
402,a,a,W,15380,251,-34,-34,a,0,0,0,0,0,0,0,0,0,0,0
403,a,a,N,9540,339,3,53,a,0,0,0,0,0,0,0,0,0,0,0
404,a,a,N,2940,65,-20,-40,a,0,0,0,0,0,0,0,0,0,0,0
405,a,a,N,2960,91,-19,-16,a,0,0,0,0,0,0,0,0,0,0,0
406,a,a,N,3990,231,66,98,a,0,0,0,0,0,0,0,0,0,0,0
407,a,a,N,2840,115,18,-1,a,0,0,0,0,0,0,0,0,0,0,0
408,a,a,N,5900,63,-30,-71,a,1,0,1,0,0,0,0,0,2000,2000,0
409,a,a,N,6980,37,-10,-81,a,1,1,0,0,0,0,0,0,300,300,0
410,a,a,N,3540,186,62,74,a,0,0,0,0,0,0,0,0,0,0,0
411,a,a,W,10360,131,76,-49,a,0,0,0,0,0,0,0,0,0,0,0
412,a,b,N,4890,162,97,88,a,0,0,0,0,0,0,0,0,0,0,0
413,a,b,N,10320,172,4,-51,a,0,0,0,0,0,0,0,0,0,0,0
414,a,b,N,22610,242,193,30,a,0,0,0,0,0,0,0,0,0,0,0
415,a,b,N,2410,109,-76,-69,a,0,0,0,0,0,0,0,0,0,0,0
416,a,b,N,8690,92,-12,-74,a,1,0,1,0,0,0,0,0,4000,4000,0
417,a,b,N,4530,98,-54,-72,a,0,0,0,0,0,0,0,0,0,0,0
418,a,b,N,4040,92,-57,-72,a,0,0,0,0,0,0,0,0,0,0,0
419,a,b,N,6920,100,-26,-69,a,0,0,0,0,0,0,0,0,0,0,0
420,a,b,N,4230,126,-55,-61,a,0,0,0,0,0,0,0,0,0,0,0
421,a,b,W,22820,311,-25,-51,a,0,0,0,0,0,0,0,0,0,0,0
422,a,b,W,20760,326,-32,-49,a,0,0,0,0,0,0,0,0,0,0,0
423,a,b,W,27150,441,-11,-31,a,0,0,0,0,0,0,0,0,0,0,0
424,a,b,W,66520,685,118,7,a,0,0,0,0,0,0,0,0,0,0,0
425,a,b,W,24360,444,-20,-31,a,0,0,0,0,0,0,0,0,0,0,0
426,a,a,W,18160,378,-43,-41,a,0,0,0,0,0,0,0,0,0,0,0
427,a,a,W,17860,321,-44,-50,a,1,1,0,0,0,0,0,0,400,400,0
428,a,a,W,75050,675,134,5,a,3,0,3,0,0,0,0,0,13000,8000,0
429,a,a,W,80100,867,150,35,a,2,1,1,0,0,0,0,0,1500,1000,0
430,a,a,W,27740,423,-13,-34,a,0,0,0,0,0,0,0,0,0,0,0
431,a,a,W,32430,527,1,-18,a,0,0,0,0,0,0,0,0,0,0,0
432,a,a,W,30750,508,-4,-21,a,0,0,0,0,0,0,0,0,0,0,0
433,a,a,W,64920,690,103,7,a,1,0,1,0,0,0,0,0,1000,1000,0
434,a,a,W,36930,534,14,-13,a,0,0,0,0,0,0,0,0,0,0,0
435,a,a,N,18890,386,102,19,a,1,1,0,0,0,0,0,0,400,400,0
436,a,a,W,46400,652,43,7,a,0,0,0,0,0,0,0,0,0,0,0
437,a,a,W,96760,1125,197,84,a,0,0,0,0,0,0,0,0,0,0,0
438,a,a,W,40350,645,24,5,a,0,0,0,0,0,0,0,0,0,0,0
439,a,a,W,90240,1080,177,77,a,0,0,0,0,0,0,0,0,0,0,0
440,a,a,W,104340,1269,221,108,a,0,0,0,0,0,0,0,0,0,0,0
441,a,a,W,32620,718,0,17,a,0,0,0,0,0,0,0,0,0,0,0
442,a,a,N,22480,508,227,195,a,0,0,0,0,0,0,0,0,0,0,0
443,a,a,N,28710,454,207,40,a,1,0,1,0,0,0,0,0,4000,4000,0
444,a,a,N,29310,445,214,38,a,0,0,0,0,0,0,0,0,0,0,0
445,a,a,W,19910,568,-42,-3,a,0,0,0,0,0,0,0,0,0,0,0
446,a,a,W,12250,342,-64,-41,a,0,0,0,0,0,0,0,0,0,0,0
447,a,a,W,15080,306,-56,-48,a,0,0,0,0,0,0,0,0,0,0,0
448,a,a,W,17180,310,-50,-47,a,0,0,0,0,0,0,0,0,0,0,0
449,a,a,W,36680,513,47,3,a,0,0,0,0,0,0,0,0,0,0,0
450,a,a,N,14170,381,52,18,a,0,0,0,0,0,0,0,0,0,0,0
451,a,a,N,18790,322,101,0,a,0,0,0,0,0,0,0,0,0,0,0
452,a,a,W,14580,321,-60,-47,a,0,0,0,0,0,0,0,0,0,0,0
453,a,a,W,22530,328,-39,-46,a,1,1,0,0,0,0,0,0,400,400,0
454,a,a,W,18440,403,-50,-34,a,0,0,0,0,0,0,0,0,0,0,0
455,a,a,W,64990,802,77,32,a,1,0,1,0,0,0,0,0,4000,4000,0
456,a,a,W,36860,681,0,12,a,1,0,1,0,0,0,0,0,3000,3000,0
457,a,a,W,18130,463,-51,-24,a,0,0,0,0,0,0,0,0,0,0,0
458,a,a,N,14610,373,56,15,a,0,0,0,0,0,0,0,0,0,0,0
459,a,a,N,10040,300,7,-7,a,0,0,0,0,0,0,0,0,0,0,0
460,a,a,W,11410,250,-67,-57,a,0,0,0,0,0,0,0,0,0,0,0
461,a,a,N,14020,251,50,-22,a,0,0,0,0,0,0,0,0,0,0,0
462,a,a,N,12170,226,30,-30,a,0,0,0,0,0,0,0,0,0,0,0
463,a,a,N,10040,216,7,-33,a,0,0,0,0,0,0,0,0,0,0,0
464,a,a,W,9710,248,-72,-57,a,0,0,0,0,0,0,0,0,0,0,0
465,a,a,W,55230,904,57,56,a,0,0,0,0,0,0,0,0,0,0,0
466,a,a,W,19580,439,-44,-24,a,0,0,0,0,0,0,0,0,0,0,0
467,a,a,N,15640,326,67,1,a,1,1,0,0,0,0,0,0,200,200,0
468,a,a,N,13610,262,46,-19,a,0,0,0,0,0,0,0,0,0,0,0
469,a,a,N,9280,294,35,71,a,0,0,0,0,0,0,0,0,0,0,0
470,a,a,N,9000,241,31,40,a,0,0,0,0,0,0,0,0,0,0,0
471,a,a,N,23440,514,151,59,a,1,0,1,0,0,0,0,0,8000,8000,0
472,a,a,N,6660,274,-29,-15,a,0,0,0,0,0,0,0,0,0,0,0
473,a,a,N,5480,236,-20,37,a,0,0,0,0,0,0,0,0,0,0,0
474,a,a,N,8030,224,31,42,a,0,0,0,0,0,0,0,0,0,0,0
475,a,a,N,4170,181,-49,-34,a,0,0,0,0,0,0,0,0,0,0,0
476,a,a,N,7160,182,-13,-34,a,0,0,0,0,0,0,0,0,0,0,0
477,a,a,N,13640,210,123,33,a,0,0,0,0,0,0,0,0,0,0,0
478,a,a,N,4310,172,-30,9,a,0,0,0,0,0,0,0,0,0,0,0
479,a,a,N,3250,127,-47,-20,a,0,0,0,0,0,0,0,0,0,0,0
480,a,a,N,3520,107,-42,-32,a,0,0,0,0,0,0,0,0,0,0,0
481,a,a,N,2270,78,-82,-69,a,0,0,0,0,0,0,0,0,0,0,0
482,a,a,N,6130,111,-28,-59,a,0,0,0,0,0,0,0,0,0,0,0
483,a,a,N,3470,84,-59,-69,a,0,0,0,0,0,0,0,0,0,0,0
484,a,a,N,9680,139,14,-48,a,1,1,0,0,0,0,0,0,700,700,0
485,a,a,N,8680,188,31,7,a,0,0,0,0,0,0,0,0,0,0,0
486,a,a,N,2440,104,-71,-61,a,0,0,0,0,0,0,0,0,0,0,0
487,a,a,N,1350,112,-80,-36,a,0,0,0,0,0,0,0,0,0,0,0
488,a,a,N,5440,126,-18,-28,a,1,1,0,0,0,0,0,0,300,300,0
489,a,a,N,9990,118,17,-56,a,1,0,1,0,0,0,0,0,1000,1000,0
490,a,a,N,2960,108,-76,-57,a,0,0,0,0,0,0,0,0,0,0,0
491,a,a,N,7020,98,-44,-61,a,0,0,0,0,0,0,0,0,0,0,0
492,a,a,N,6130,129,-27,-50,a,0,0,0,0,0,0,0,0,0,0,0
493,a,a,W,7320,177,-71,-65,a,0,0,0,0,0,0,0,0,0,0,0
494,a,a,W,5710,195,-77,-61,a,0,0,0,0,0,0,0,0,0,0,0
495,a,a,W,7430,196,-70,-61,a,0,0,0,0,0,0,0,0,0,0,0
496,a,a,W,22220,415,-5,-11,a,1,0,1,0,0,0,0,0,7000,7000,0
497,a,a,W,26400,510,13,9,a,0,0,0,0,0,0,0,0,0,0,0
498,a,a,W,11610,315,-21,3,a,0,0,0,0,0,0,0,0,0,0,0
499,a,a,W,14580,308,-42,-38,a,0,0,0,0,0,0,0,0,0,0,0
500,a,a,W,28380,628,14,26,a,1,0,0,1,0,0,0,0,20000,20000,0
501,a,a,W,42140,525,187,72,a,1,0,1,0,0,0,0,0,5000,5000,0
502,a,a,W,20350,439,39,44,a,0,0,0,0,0,0,0,0,0,0,0
503,a,a,W,31810,514,27,3,a,1,1,0,0,0,0,0,0,100,100,0
504,a,a,W,44190,696,201,129,a,1,0,1,0,0,0,0,0,2000,2000,0
505,b,a,W,28290,527,100,79,a,0,0,0,0,0,0,0,0,0,0,0
506,b,a,W,25090,383,78,30,a,0,0,0,0,0,0,0,0,0,0,0
507,b,a,W,16750,398,19,35,a,0,0,0,0,0,0,0,0,0,0,0
508,b,a,W,21650,348,53,18,a,0,0,0,0,0,0,0,0,0,0,0
509,b,a,W,60930,866,101,72,a,1,0,0,1,0,0,0,0,10000,10000,0
510,b,a,W,19660,644,-16,36,a,0,0,0,0,0,0,0,0,0,0,0
511,b,a,W,21000,466,-10,-1,a,0,0,0,0,0,0,0,0,0,0,0
512,b,a,W,13600,368,-11,20,a,1,1,0,0,0,0,0,0,800,800,0
513,b,a,W,18780,337,-35,-32,a,2,1,1,0,0,0,0,0,9900,9000,0
514,b,a,W,19920,400,-15,-15,a,0,0,0,0,0,0,0,0,0,0,0
515,b,a,W,20050,295,-14,-37,a,0,0,0,0,0,0,0,0,0,0,0
516,b,a,W,18420,255,-21,-46,a,0,0,0,0,0,0,0,0,0,0,0
517,b,a,W,36100,350,54,-26,a,1,1,0,0,0,0,0,0,100,100,0
518,b,a,W,57010,535,144,14,a,1,1,0,0,0,0,0,0,600,600,0
519,b,a,W,56060,600,140,27,a,0,0,0,0,0,0,0,0,0,0,0
520,b,a,W,31320,407,35,-13,a,1,0,1,0,0,0,0,0,2000,2000,0
521,b,a,W,26330,386,13,-18,a,0,0,0,0,0,0,0,0,0,0,0
522,b,a,W,19640,302,-16,-36,a,0,0,0,0,0,0,0,0,0,0,0
523,b,a,W,41260,529,77,13,a,0,0,0,0,0,0,0,0,0,0,0
524,b,a,W,60320,632,159,35,a,1,0,1,0,0,0,0,0,3000,3000,0
525,b,a,W,47840,594,106,27,a,0,0,0,0,0,0,0,0,0,0,0
526,b,a,W,18690,401,-20,-15,a,1,1,0,0,0,0,0,0,700,700,0
527,b,a,W,35830,407,54,-13,a,0,0,0,0,0,0,0,0,0,0,0
528,a,a,W,30650,424,29,-8,a,1,0,1,0,0,0,0,0,4000,4000,0
529,a,a,W,38400,555,62,21,a,2,0,2,0,0,0,0,0,12000,8000,0
530,b,a,N,8560,210,-18,2,a,0,0,0,0,0,0,0,0,0,0,0
531,b,a,N,8470,203,-17,8,a,0,0,0,0,0,0,0,0,0,0,0
532,b,a,N,7220,218,-29,16,a,0,0,0,0,0,0,0,0,0,0,0
533,b,a,N,11700,181,15,-4,a,0,0,0,0,0,0,0,0,0,0,0
534,b,a,N,6970,154,-33,-25,a,0,0,0,0,0,0,0,0,0,0,0
535,b,a,W,6920,158,-41,-32,a,0,0,0,0,0,0,0,0,0,0,0
536,b,a,W,17200,262,47,14,a,0,0,0,0,0,0,0,0,0,0,0
537,b,a,W,42640,576,264,150,a,0,0,0,0,0,0,0,0,0,0,0
538,b,a,W,15130,372,18,51,a,0,0,0,0,0,0,0,0,0,0,0
539,b,a,W,15740,222,4,-27,a,1,0,1,0,0,0,0,0,6000,6000,0
540,b,a,W,12470,227,-2,-8,a,0,0,0,0,0,0,0,0,0,0,0
541,b,a,W,19290,268,28,-12,a,1,0,1,0,0,0,0,0,1000,1000,0
542,b,a,W,24620,362,63,18,a,0,0,0,0,0,0,0,0,0,0,0
543,b,a,W,13460,229,-11,-25,a,0,0,0,0,0,0,0,0,0,0,0
544,b,a,W,14660,229,-3,-25,a,0,0,0,0,0,0,0,0,0,0,0
545,b,a,W,37560,493,149,61,a,1,1,0,0,0,0,0,0,200,200,0
546,b,a,W,27740,443,81,41,a,0,0,0,0,0,0,0,0,0,0,0
547,b,a,W,15460,249,15,-2,a,0,0,0,0,0,0,0,0,0,0,0
548,b,a,W,22060,275,64,8,a,0,0,0,0,0,0,0,0,0,0,0
549,b,a,W,16330,270,7,-14,a,0,0,0,0,0,0,0,0,0,0,0
550,b,a,W,28910,307,115,20,a,0,0,0,0,0,0,0,0,0,0,0
551,b,a,W,81410,785,432,151,b,0,0,0,0,0,0,0,0,0,0,0
552,b,a,W,42110,555,213,118,a,0,0,0,0,0,0,0,0,0,0,0
553,b,a,W,26960,540,101,112,a,0,0,0,0,0,0,0,0,0,0,0
554,a,a,W,16130,322,2,2,a,0,0,0,0,0,0,0,0,0,0,0
555,a,a,W,12750,235,-10,-10,a,0,0,0,0,0,0,0,0,0,0,0
556,a,a,W,127360,351,-54,-53,a,1,1,0,0,0,0,0,0,700,700,1
557,a,b,W,715540,1471,-13,-4,a,2,2,0,0,0,0,0,0,900,600,1
558,a,b,N,92520,169,-73,-74,a,1,0,0,1,0,0,0,0,10000,10000,1
559,a,a,N,384230,751,4,6,a,3,1,2,0,0,0,0,0,9700,6000,1
560,a,a,W,1034700,1837,33,-6,a,1,0,1,0,0,0,0,0,2000,2000,1
561,a,a,W,1766860,2899,32,18,a,0,0,0,0,0,0,0,0,0,0,1
562,a,b,W,1061760,1443,-3,0,a,1,0,1,0,0,0,0,0,3000,3000,1
563,a,b,W,1514120,1518,28,12,a,3,2,1,0,0,0,0,0,1900,1000,1
564,b,b,W,1132810,1893,-14,34,a,5,3,2,0,0,0,0,0,7000,3000,1
565,b,b,W,600400,1688,-54,-1,b,2,1,1,0,0,0,0,0,2200,2000,1
566,b,b,W,588930,1807,-50,-2,a,1,0,1,0,0,0,0,0,4000,4000,1
567,a,a,W,509190,1758,-45,-15,a,2,1,1,0,0,0,0,0,2300,2000,1
568,a,a,W,627380,3155,-1,54,a,1,1,0,0,0,0,0,0,800,800,1
569,a,a,W,538060,2075,-5,-11,a,2,2,0,0,0,0,0,0,900,700,1
570,b,a,W,372470,1848,-35,-22,a,3,0,2,1,0,0,0,0,70000,60000,1
571,a,b,W,576200,1558,15,-22,a,6,3,3,0,0,0,0,0,21300,8000,1
572,a,b,W,836500,2313,55,19,a,4,0,4,0,0,0,0,0,19000,9000,1
573,b,b,W,754760,2218,30,15,a,2,1,1,0,0,0,0,0,3200,3000,1
574,b,a,W,450490,1437,-30,-28,a,6,2,4,0,0,0,0,0,12700,4000,1
575,b,a,W,932410,2464,47,28,a,7,4,2,1,0,0,0,0,36500,30000,1
576,b,a,W,568200,1834,-16,-7,a,4,2,1,1,0,0,0,0,32700,30000,1
577,a,a,W,447360,1332,-37,-33,a,2,1,1,0,0,0,0,0,8400,8000,1
578,b,a,W,993080,3023,49,56,a,3,1,0,2,0,0,0,0,70800,40000,1
579,b,a,W,788650,2361,18,17,a,3,2,1,0,0,0,0,0,6100,5000,1
580,b,a,W,415690,1486,-37,-26,a,1,0,1,0,0,0,0,0,7000,7000,1
581,b,a,W,649840,2256,6,17,a,3,1,2,0,0,0,0,0,8400,7000,1
582,b,a,W,380320,1545,-40,-24,a,4,1,2,1,0,0,0,0,30900,20000,1
583,b,a,W,401730,1329,-32,-31,a,3,2,0,1,0,0,0,0,91700,90000,1
584,b,a,W,557510,1946,5,8,a,3,2,1,0,0,0,0,0,5800,5000,1
585,a,a,W,434360,1584,-38,-60,a,2,0,2,0,0,0,0,0,9000,6000,1
586,b,a,W,388530,1539,-11,-11,a,2,1,1,0,0,0,0,0,3200,3000,1
587,a,a,W,261010,1352,-38,-19,a,2,1,1,0,0,0,0,0,3700,3000,1
588,b,a,W,394660,1764,-2,8,a,3,1,1,1,0,0,0,0,35900,30000,1
589,a,b,W,820600,3506,92,97,a,2,1,1,0,0,0,0,0,8700,8000,1
590,b,a,W,577770,2765,27,38,a,1,0,1,0,0,0,0,0,2000,2000,1
591,a,a,W,268170,1352,-41,-35,a,1,1,0,0,0,0,0,0,400,400,1
592,b,a,W,332180,1890,-33,-16,a,1,0,1,0,0,0,0,0,1000,1000,1
593,b,a,W,199030,1255,-30,-45,a,2,2,0,0,0,0,0,0,700,400,1
594,b,a,W,192650,1185,-8,-14,a,4,2,1,1,0,0,0,0,27100,20000,1
595,b,a,W,320110,1844,54,35,a,2,1,0,1,0,0,0,0,20600,20000,1
596,b,a,W,206610,1421,-7,1,a,2,1,1,0,0,0,0,0,4200,4000,1
597,a,a,N,65250,450,-74,-70,a,0,0,0,0,0,0,0,0,0,0,1
598,b,b,W,887140,3327,128,144,b,5,3,2,0,0,0,0,0,6200,2000,1
599,b,b,W,690550,3915,28,29,a,3,1,1,1,0,0,0,0,34400,30000,1
600,b,a,W,609620,2344,11,-22,a,2,2,0,0,0,0,0,0,900,500,1
601,b,a,W,581540,2102,7,-23,a,2,1,1,0,0,0,0,0,6500,6000,1
602,a,b,W,546980,2212,-3,-7,a,1,1,0,0,0,0,0,0,100,100,1
603,a,a,W,55730,387,-89,-87,a,3,2,1,0,0,0,0,0,9600,8000,1
604,b,a,W,91510,768,-78,-69,a,3,2,1,0,0,0,0,0,5900,5000,1
605,a,a,W,189840,1276,-50,-45,a,6,1,5,0,0,0,0,0,17900,7000,1
606,b,a,W,122850,886,-58,-52,a,3,2,1,0,0,0,0,0,6900,6000,1
607,b,a,W,91420,774,-61,-49,a,4,1,3,0,0,0,0,0,12700,9000,1
608,a,a,W,122640,979,10,21,a,6,4,2,0,0,0,0,0,9200,6000,1
609,b,b,W,122410,902,8,9,a,3,2,1,0,0,0,0,0,3600,3000,1
610,a,c,W,83180,744,-32,-19,a,3,1,2,0,0,0,0,0,14600,9000,1
611,b,a,W,19520,211,-2,6,a,2,1,1,0,0,0,0,0,3200,3000,1
612,b,a,W,38180,322,-6,0,a,3,1,2,0,0,0,0,0,11500,8000,1
613,b,b,W,68970,624,71,94,a,5,2,2,1,0,0,0,0,34400,20000,1
614,b,b,W,36100,285,-14,-19,a,6,3,3,0,0,0,0,0,14300,9000,1
615,a,a,W,34600,389,-13,6,a,4,0,4,0,0,0,0,0,15000,8000,1
616,b,a,W,45670,382,26,5,a,5,1,4,0,0,0,0,0,10800,5000,1
617,a,b,W,17660,224,-41,-27,a,5,2,3,0,0,0,0,0,9900,4000,1
618,b,b,W,54610,527,95,84,a,6,1,5,0,0,0,0,0,14700,4000,1
619,b,b,W,29410,345,-6,7,a,7,1,3,3,0,0,0,0,114400,70000,1
620,b,b,W,60390,622,96,96,a,9,4,4,1,0,0,0,0,40600,20000,1
621,b,b,W,39330,409,6,10,a,6,4,2,0,0,0,0,0,8200,6000,1
622,b,b,N,10370,134,-44,-6,a,3,1,2,0,0,0,0,0,6300,4000,1
623,b,b,W,34960,565,-27,2,a,5,1,4,0,0,0,0,0,14200,7000,1
624,a,b,W,61770,1062,31,90,a,6,2,4,0,0,0,0,0,10800,6000,1
625,a,a,N,4630,89,-56,-42,a,1,0,0,0,0,0,0,0,50,50,1
626,b,a,N,3250,68,-67,-54,a,1,0,0,1,0,0,0,0,30000,30000,1
627,a,b,N,19320,320,106,118,b,2,1,1,0,0,0,0,0,2300,2000,1
628,b,b,W,39700,805,-17,5,a,3,1,2,0,0,0,0,0,8700,5000,1
629,b,b,W,61140,306,22,-69,a,8,5,2,1,0,0,0,0,89400,80000,1
630,b,b,W,108750,384,96,-56,a,4,2,2,0,0,0,0,0,6200,3000,1
631,a,a,W,106610,546,26,43,a,6,2,4,0,0,0,0,0,20800,7000,1
632,a,a,W,80210,525,18,32,a,3,1,2,0,0,0,0,0,2700,1000,1
633,a,b,N,1860,33,-78,-30,a,1,0,1,0,0,0,0,0,4000,4000,1
634,b,b,W,31620,208,-64,-45,a,2,1,0,1,0,0,0,0,40400,40000,1
635,a,a,W,20380,162,-58,-59,a,2,1,1,0,0,0,0,0,4700,4000,1
636,a,a,N,7570,69,69,67,a,1,0,1,0,0,0,0,0,5000,5000,1
637,a,b,W,32690,380,-31,-5,a,2,2,0,0,0,0,0,0,1100,700,1
638,a,a,W,31250,430,-16,2,a,3,0,3,0,0,0,0,0,4000,2000,1
639,a,b,W,14990,185,-49,-51,a,2,1,1,0,0,0,0,0,4500,4000,1
640,b,b,W,13740,218,-55,-42,a,0,0,0,0,0,0,0,0,0,0,1
641,a,b,W,28520,483,-19,5,b,3,3,0,0,0,0,0,0,1700,700,1
